,loopid,fromaddress,toaddress,tokenid,ethprice,date,transhash
634,PUNK1288,0x1919DB36cA2fa2e15F9000fd9CdC2EdCF863E685,0x696ed7b26f4B019CEeC78DC8b9140ad64A6f354B,7434,155.0,2021-08-05,0x5eea6afcff485366b640c38bddafaf876f4167840d86321aad3198e1fc7f9ebc
635,PUNK1292,0xe664F5127293233C7c9cD90F19a73F31e0897D16,0xC77FA6C05B4e472fEee7c0f9B20E70C5BF33a99B,9913,88.95,2021-08-27,0x874b9ce0918e492f328d33a2c9f241a833ea1be2324aae70db92e817af972196
636,PUNK1292,0xcF63E1C31805254b6fB3Ed7829206c2b2505e3a7,0xe664F5127293233C7c9cD90F19a73F31e0897D16,9913,80.0,2021-08-26,0x684373252573d9bb6b04a88e1df85b75ab313b26cc7d7dce07e94b92900d552f
637,PUNK1292,0xC77FA6C05B4e472fEee7c0f9B20E70C5BF33a99B,0xcF63E1C31805254b6fB3Ed7829206c2b2505e3a7,9913,55.0,2021-08-23,0x685f0565fee625691c182cf52b01ef1df757259608fe58ec52e0f662b74b8f98
638,PUNK1311,0x62bdc64A14405E797f86796Ea3C2476209ee0bf9,0x052564eB0fd8b340803dF55dEf89c25C432f43f4,5271,21.99,2021-04-01,0x976b349e0115d8261030863ef7171015ddec6c4ad7bf0c1c83ec8f5197c261a6
639,PUNK1311,0xc24F574D6853F6F6A31C19D468A8C1b3f31c0E54,0x62bdc64A14405E797f86796Ea3C2476209ee0bf9,9261,17.0,2021-04-07,0xe72f4ce56eaf7ae78aad483d8d9be316ea37051411717ddd9fece859ff465953
640,PUNK1318,0xE39178816FAF3385943c73A0DE19eED0eE78b6a4,0x052564eB0fd8b340803dF55dEf89c25C432f43f4,3264,48.9,2021-08-03,0x014577cbe78729defc423f22ecbfb4107a572792afb9f3e34f6658db120594e5
641,PUNK1318,0x052564eB0fd8b340803dF55dEf89c25C432f43f4,0xE39178816FAF3385943c73A0DE19eED0eE78b6a4,3513,45.0,2021-08-04,0x154a91a2eed0d7edaec9729c6877154175ed3f305f84ce87815b7b336c18fcd5
642,PUNK133,0x052564eB0fd8b340803dF55dEf89c25C432f43f4,0x8c9Ee60C3dD082BC1a3f9ebed27d2018A4c5d182,4624,115.0,2021-08-28,0x73f22523b7f95db12594c823d7b8725fc9775702a7699920a8f98a308deb4781
643,PUNK133,0x8c9Ee60C3dD082BC1a3f9ebed27d2018A4c5d182,0x62bdc64A14405E797f86796Ea3C2476209ee0bf9,6791,138.8,2021-08-29,0x8bb7110db7381facc6a04cbd428e704c20d81eb0170cfc6f22fcfb8507ee1c40
644,PUNK1336,0xD387A6E4e84a6C86bd90C158C6028A58CC8Ac459,0x274008F15dc24406d8656BAfa1C5994E3DA1B094,1072,0.4,2019-12-30,0x86551cfbd1a1a5c64e022aa3bc92ea2fd4e41f70f9f881c3f9286fe0a705db42
645,PUNK1336,0x274008F15dc24406d8656BAfa1C5994E3DA1B094,0x51ec5e1b8B3C4C6baE49619e657F94C4AD577b45,8715,0.44,2020-01-01,0x3fd67825d5bde6c1be7341dd1e9d6175289d4ec27f8124901e7c292262286e76
